DATE,IUMABEDR
31 Jan 2000,5.6625
29 Feb 2000,5.9167
31 Mar 2000,6
30 Apr 2000,6
31 May 2000,6
30 Jun 2000,6
31 Jul 2000,6
31 Aug 2000,6
30 Sep 2000,6
31 Oct 2000,6
30 Nov 2000,6
31 Dec 2000,6
31 Jan 2001,6
28 Feb 2001,5.8125
31 Mar 2001,5.75
30 Apr 2001,5.5395
31 May 2001,5.3214
30 Jun 2001,5.25
31 Jul 2001,5.25
31 Aug 2001,5.0114
30 Sep 2001,4.8875
31 Oct 2001,4.5326
30 Nov 2001,4.1136
31 Dec 2001,4
31 Jan 2002,4
28 Feb 2002,4
31 Mar 2002,4
30 Apr 2002,4
31 May 2002,4
30 Jun 2002,4
31 Jul 2002,4
31 Aug 2002,4
30 Sep 2002,4
31 Oct 2002,4
30 Nov 2002,4
31 Dec 2002,4
31 Jan 2003,4
28 Feb 2003,3.7875
31 Mar 2003,3.75
30 Apr 2003,3.75
31 May 2003,3.75
30 Jun 2003,3.75
31 Jul 2003,3.5761
31 Aug 2003,3.5
30 Sep 2003,3.5
31 Oct 2003,3.5
30 Nov 2003,3.7125
31 Dec 2003,3.75
31 Jan 2004,3.75
29 Feb 2004,3.9625
31 Mar 2004,4
30 Apr 2004,4
31 May 2004,4.2237
30 Jun 2004,4.4205
31 Jul 2004,4.5
31 Aug 2004,4.7143
30 Sep 2004,4.75
31 Oct 2004,4.75
30 Nov 2004,4.75
31 Dec 2004,4.75
31 Jan 2005,4.75
28 Feb 2005,4.75
31 Mar 2005,4.75
30 Apr 2005,4.75
31 May 2005,4.75
30 Jun 2005,4.75
31 Jul 2005,4.75
31 Aug 2005,4.5341
30 Sep 2005,4.5
31 Oct 2005,4.5
30 Nov 2005,4.5
31 Dec 2005,4.5
31 Jan 2006,4.5
28 Feb 2006,4.5
31 Mar 2006,4.5
30 Apr 2006,4.5
31 May 2006,4.5
30 Jun 2006,4.5
31 Jul 2006,4.5
31 Aug 2006,4.7273
30 Sep 2006,4.75
31 Oct 2006,4.75
30 Nov 2006,4.9318
31 Dec 2006,5
31 Jan 2007,5.1705
28 Feb 2007,5.25
31 Mar 2007,5.25
30 Apr 2007,5.25
31 May 2007,5.4286
30 Jun 2007,5.5
31 Jul 2007,5.7159
31 Aug 2007,5.75
30 Sep 2007,5.75
31 Oct 2007,5.75
30 Nov 2007,5.75
31 Dec 2007,5.5395
31 Jan 2008,5.5
29 Feb 2008,5.2976
31 Mar 2008,5.25
30 Apr 2008,5.0795
31 May 2008,5
30 Jun 2008,5
31 Jul 2008,5
31 Aug 2008,5
30 Sep 2008,5
31 Oct 2008,4.6087
30 Nov 2008,3.225
31 Dec 2008,2.1429
31 Jan 2009,1.5952
28 Feb 2009,1.075
31 Mar 2009,0.5682
30 Apr 2009,0.5
31 May 2009,0.5
30 Jun 2009,0.5
31 Jul 2009,0.5
31 Aug 2009,0.5
30 Sep 2009,0.5
31 Oct 2009,0.5
30 Nov 2009,0.5
31 Dec 2009,0.5
31 Jan 2010,0.5
28 Feb 2010,0.5
31 Mar 2010,0.5
30 Apr 2010,0.5
31 May 2010,0.5
30 Jun 2010,0.5
31 Jul 2010,0.5
31 Aug 2010,0.5
30 Sep 2010,0.5
31 Oct 2010,0.5
30 Nov 2010,0.5
31 Dec 2010,0.5
31 Jan 2011,0.5
28 Feb 2011,0.5
31 Mar 2011,0.5
30 Apr 2011,0.5
31 May 2011,0.5
30 Jun 2011,0.5
31 Jul 2011,0.5
31 Aug 2011,0.5
30 Sep 2011,0.5
31 Oct 2011,0.5
30 Nov 2011,0.5
31 Dec 2011,0.5
31 Jan 2012,0.5
29 Feb 2012,0.5
31 Mar 2012,0.5
30 Apr 2012,0.5
31 May 2012,0.5
30 Jun 2012,0.5
31 Jul 2012,0.5
31 Aug 2012,0.5
30 Sep 2012,0.5
31 Oct 2012,0.5
30 Nov 2012,0.5
31 Dec 2012,0.5
31 Jan 2013,0.5
28 Feb 2013,0.5
31 Mar 2013,0.5
30 Apr 2013,0.5
31 May 2013,0.5
30 Jun 2013,0.5
31 Jul 2013,0.5
31 Aug 2013,0.5
30 Sep 2013,0.5
31 Oct 2013,0.5
30 Nov 2013,0.5
31 Dec 2013,0.5
31 Jan 2014,0.5
28 Feb 2014,0.5
31 Mar 2014,0.5
30 Apr 2014,0.5
31 May 2014,0.5
30 Jun 2014,0.5
31 Jul 2014,0.5
31 Aug 2014,0.5
30 Sep 2014,0.5
31 Oct 2014,0.5
30 Nov 2014,0.5
31 Dec 2014,0.5
31 Jan 2015,0.5
28 Feb 2015,0.5
31 Mar 2015,0.5
30 Apr 2015,0.5
31 May 2015,0.5
30 Jun 2015,0.5
31 Jul 2015,0.5
31 Aug 2015,0.5
30 Sep 2015,0.5
31 Oct 2015,0.5
30 Nov 2015,0.5
31 Dec 2015,0.5
31 Jan 2016,0.5
29 Feb 2016,0.5
31 Mar 2016,0.5
30 Apr 2016,0.5
31 May 2016,0.5
30 Jun 2016,0.5
31 Jul 2016,0.5
31 Aug 2016,0.2841
30 Sep 2016,0.25
31 Oct 2016,0.25
30 Nov 2016,0.25
31 Dec 2016,0.25
31 Jan 2017,0.25
28 Feb 2017,0.25
31 Mar 2017,0.25
30 Apr 2017,0.25
31 May 2017,0.25
30 Jun 2017,0.25
31 Jul 2017,0.25
31 Aug 2017,0.25
30 Sep 2017,0.25
31 Oct 2017,0.25
30 Nov 2017,0.4886
31 Dec 2017,0.5
31 Jan 2018,0.5
28 Feb 2018,0.5
31 Mar 2018,0.5
30 Apr 2018,0.5
31 May 2018,0.5
30 Jun 2018,0.5
31 Jul 2018,0.5
31 Aug 2018,0.7386
30 Sep 2018,0.75
31 Oct 2018,0.75
30 Nov 2018,0.75
31 Dec 2018,0.75
31 Jan 2019,0.75
28 Feb 2019,0.75
31 Mar 2019,0.75
30 Apr 2019,0.75
31 May 2019,0.75
30 Jun 2019,0.75
31 Jul 2019,0.75
31 Aug 2019,0.75
30 Sep 2019,0.75
31 Oct 2019,0.75
30 Nov 2019,0.75
31 Dec 2019,0.75
31 Jan 2020,0.75
29 Feb 2020,0.75
31 Mar 2020,0.3477
30 Apr 2020,0.1
31 May 2020,0.1
30 Jun 2020,0.1
31 Jul 2020,0.1
31 Aug 2020,0.1
30 Sep 2020,0.1
31 Oct 2020,0.1
30 Nov 2020,0.1
31 Dec 2020,0.1
31 Jan 2021,0.1
28 Feb 2021,0.1
31 Mar 2021,0.1
30 Apr 2021,0.1
31 May 2021,0.1
30 Jun 2021,0.1
31 Jul 2021,0.1
31 Aug 2021,0.1
30 Sep 2021,0.1
31 Oct 2021,0.1
30 Nov 2021,0.1
31 Dec 2021,0.1714
31 Jan 2022,0.25
28 Feb 2022,0.475
31 Mar 2022,0.6196
30 Apr 2022,0.75
31 May 2022,0.9762
30 Jun 2022,1.1375
31 Jul 2022,1.25
31 Aug 2022,1.6818
30 Sep 2022,1.9167
31 Oct 2022,2.25
30 Nov 2022,2.9318
31 Dec 2022,3.25
31 Jan 2023,3.5
28 Feb 2023,3.975
31 Mar 2023,4.0761
30 Apr 2023,4.25
31 May 2023,4.425
30 Jun 2023,4.6591
31 Jul 2023,5
31 Aug 2023,5.2273
30 Sep 2023,5.25
31 Oct 2023,5.25
30 Nov 2023,5.25
31 Dec 2023,5.25
31 Jan 2024,5.25
29 Feb 2024,5.25
31 Mar 2024,5.25
30 Apr 2024,5.25
31 May 2024,5.25
30 Jun 2024,5.25
31 Jul 2024,5.25
31 Aug 2024,5
30 Sep 2024,5
31 Oct 2024,5
30 Nov 2024,4.7976
31 Dec 2024,4.75
